1,0E,"push cs",0000,0000,0000,0000,0100,489D,48AD,48BF,0038,00000010
2,E8D4FF,"call 0010",0000,0000,0000,0000,00FE,489D,48AD,48BF,0039,00000010
3,50,"push ax",0000,0000,0000,0000,00FC,489D,48AD,48BF,0010,00000010
4,B8BD48,"mov ax, 48BD",0000,0000,0000,0000,00FA,489D,48AD,48BF,0011,00000010
5,8ED8,"mov ds, ax",48BD,0000,0000,0000,00FA,489D,48AD,48BF,0014,00000010
6,B409,"mov ah, 09",48BD,0000,0000,0000,00FA,48BD,48AD,48BF,0016,00000010
7,BA0000,"mov dx, 0000",09BD,0000,0000,0000,00FA,48BD,48AD,48BF,0018,00000010
8,CD21,"int 21",09BD,0000,0000,0000,00FA,48BD,48AD,48BF,001B,00000010
9,58,"pop ax",09BD,0000,0000,0000,00FA,48BD,48AD,48BF,001D,00000010
10,CB,"retf",0000,0000,0000,0000,00FC,48BD,48AD,48BF,001E,00000010
11,0E,"push cs",0000,0000,0000,0000,0100,48BD,48AD,48BF,003C,00000010
12,E8C7FF,"call 0007",0000,0000,0000,0000,00FE,48BD,48AD,48BF,003D,00000010
13,50,"push ax", 0000,0000,0000,0000,00FC,48BD,48AD,48BF,0007,00000010
14,B402,"mov ah, 02",0000,0000,0000,0000,00FA,48BD,48AD,48BF,0008,00000010
15,B20A,"mov dl, 0A",0200,0000,0000,0000,00FA,48BD,48AD,48BF,000A,00000010
16,CD21,"int 21", 0200,0000,0000,000A,00FA,48BD,48AD,48BF,000C,00000010
17,58,"pop ax", 020A,0000,0000,000A,00FA,48BD,48AD,48BF,000E,00000010
18,CB,"retf", 0000,0000,0000,000A,00FC,48BD,48AD,48BF,000F,00000010
19,B80900,"mov ax, 0009", 0000,0000,0000,000A,0100,48BD,48AD,48BF,0040,00000010
20,B80100,"mov bx, 0001", 0009,0000,0000,000A,0100,48BD,48AD,48BF,0043,00000010
21,0E,"push cs",0009,0001,0000,000A,0100,48BD,48AD,48BF,0046,00000010
22,E8D5FF,"call 001F",0009,0001,0000,000A,00FE,48BD,48AD,48BF,0047,00000010
23,8AD0,"mov dl, al",0009,0001,0000,000A,00FC,48BD,48AD,48BF,001F,00000010
24,80C230,"add dl, 30",0009,0001,0000,0009,00FC,48BD,48AD,48BF,0021,00000010
25,0E,"push cs",0009,0001,0000,0039,00FC,48BD,48AD,48BF,0024,00001010
26,E8D8FF,"call 0000",0009,0001,0000,0039,00FA,48BD,48AD,48BF,0025,00001010
27,50,"push ax",0009,0001,0000,0039,00F8,48BD,48AD,48BF,0000,00001010
28,B402,"mov ah, 02",0009,0001,0000,0039,00F6,48BD,48AD,48BF,0001,00001010
29,CD21,"int 21",0209,0001,0000,0039,00F6,48BD,48AD,48BF,0003,00001010
30,58,"pop ax",0239,0001,0000,0039,00F6,48BD,48AD,48BF,0005,00001010
31,CB,"retf",0009,0001,0000,0039,00F8,48BD,48AD,48BF,0006,00001010
32,B200,"mov dl, 00",0009,0001,0000,0039,00FC,48BD,48AD,48BF,0028,00001010
33,0E,"push cs", 0009,0001,0000,0000,00FC,48BD,48AD,48BF,002A,00001010
34,E8D2FF,"call 0000",0009,0001,0000,0000,00FA,48BD,48AD,48BF,002B,00001010
...,...,...,...,...,...,...,...,...,...,...,...,...
35,8AD3,"mov dl, bl",0009,0001,0000,0000,00FC,48BD,48AD,48BF,002E,00001010
36,80C230,"add dl, 30",0009,0001,0000,0001,00FC,48BD,48AD,48BF,0030,00001010
37,0E,"push cs",0009,0001,0000,0031,00FC,48BD,48AD,48BF,0033,00000010
38,E8C9FF,"call 0000",0009,0001,0000,0031,00FA,48BD,48AD,48BF,0034,00000010
...,...,...,...,...,...,...,...,...,...,...,...,...
39,CB,"retf",0009,0001,0000,0031,00FC,48BD,48AD,48BF,0037,00000010
40,50,"push ax",0009,0001,0000,0031,0100,48BD,48AD,48BF,004A,00000010
41,B402,"mov ah, 02",0009,0001,0000,0031,00FE,48BD,48AD,48BF,004B,00000010
42,B20A,"mov dl, 0A",0209,0001,0000,0031,00FE,48BD,48AD,48BF,004D,00000010
43,CD21,"int 21",0209,0001,0000,000A,00FE,48BD,48AD,48BF,004F,00000010
44,58,"pop ax",020A,0001,0000,000A,00FE,48BD,48AD,48BF,0051,00000010
45,93,"xchg bx, ax",0009,0001,0000,000A,0100,48BD,48AD,48BF,0052,00000010
46,0E,"push cs", 0001,0009,0000,000A,0100,48BD,48AD,48BF,0053,00000010
47,E8C8FF,"call 001F",0001,0009,0000,000A,00FE,48BD,48AD,48BF,0054,00000010
...,...,...,...,...,...,...,...,...,...,...,...,...
48,B8004C,"mov ax, 4C00",0001,0009,0000,0039,0100,48BD,48AD,48BF,0057,00001010
49,CD21,"int 21",4C00,0009,0000,0039,0100,48BD,48AD,48BF,005A,00001010
