1,0E,"push cs",0000,0000,0000,0000,0100,489D,48AD,48BF,001F,00000010
2,E8EDFF,"call 0010",0000,0000,0000,0000,00FE,489D,48AD,48BF,0020,00000010
3,50,"push ax",0000,0000,0000,0000,00FC,489D,48AD,48BF,0010,00000010
4,B8BD48,"mov ax, 48BD",0000,0000,0000,0000,00FA,489D,48AD,48BF,0011,00000010
5,8ED8,"mov ds, ax",48BD,0000,0000,0000,00FA,489D,48AD,48BF,0014,00000010 
6,B409,"mov ah, 09",48BD,0000,0000,0000,00FA,48BD,48AD,48BF,0016,00000010
7,BA0000,"mov dx, 0000",09BD,0000,0000,0000,00FA,48BD,48AD,48BF,0018,00000010 
8,CD21,"int 21",09BD,0000,0000,0000,00FA,48BD,48AD,48BF,001B,00000010
9,58,"pop ax",09BD,0000,0000,0000,00FA,48BD,48AD,48BF,001D,00000010
10,CB,"retf",0000,0000,0000,0000,00FC,48BD,48AD,48BF,001E,00000010
11,0E,"push cs",0000,0000,0000,0000,0100,48BD,48AD,48BF,0023,00000010
12,E8E0FF,"call 0007",0000,0000,0000,0000,00FE,48BD,48AD,48BF,0024,00000010
13,50,"push ax",0000,0000,0000,0000,00FC,48BD,48AD,48BF,0007,00000010
14,B402,"mov ah, 02",0000,0000,0000,0000,00FA,48BD,48AD,48BF,0008,00000010
15,B20A,"mov dl, 0A",0200,0000,0000,0000,00FA,48BD,48AD,48BF,000A,00000010
16,CD21,"int 21",0200,0000,0000,000A,00FA,48BD,48AD,48BF,000C,00000010
17,58,"pop ax",020A,0000,0000,000A,00FA,48BD,48AD,48BF,000E,00000010
18,CB,"retf",0000,0000,0000,000A,00FC,48BD,48AD,48BF,000F,00000010
19,B80100,"mov ax, 0001",0000,0000,0000,000A,0100,48BD,48AD,48BF,0027,00000010
20,BB0300,"mov bx, 0003",0001,0000,0000,000A,0100,48BD,48AD,48BF,002A,00000010
21,8AD0,"mov dl, al",0001,0003,0000,000A,0100,48BD,48AD,48BF,002D,00000010
22,80C230,"add dl, 30",0001,0003,0000,0001,0100,48BD,48AD,48BF,002F,00000010
23,0E,"push cs",0001,0003,0000,0031,0100,48BD,48AD,48BF,0032,00000010
24,E8CAFF,"call 0000",0001,0003,0000,0031,00FE,48BD,48AD,48BF,0033,00000010
25,50,"push ax",0001,0003,0000,0031,00FC,48BD,48AD,48BF,0000,00000010
26,B402,"mov ah, 02",0001,0003,0000,0031,00FA,48BD,48AD,48BF,0001,00000010
27,CD21,"int 21",0201,0003,0000,0031,00FA,48BD,48AD,48BF,0003,00000010
28,58,"pop ax",0231,0003,0000,0031,00FA,48BD,48AD,48BF,0005,00000010
29,CB,"retf",0001,0003,0000,0031,00FC,48BD,48AD,48BF,0006,00000010
30,B200,"mov dl, 00",0001,0003,0000,0031,0100,48BD,48AD,48BF,0036,00000010
31,0E,"push cs",0001,0003,0000,0000,0100,48BD,48AD,48BF,0038,00000010
32,E8C4FF,"call 0000",0001,0003,0000,0000,00FE,48BD,48AD,48BF,0039,00000010
...,...,...,...,...,...,...,...,...,..,...,...,...
33,8AD3,"mov dl, bl",0001,0003,0000,0000,0100,48BD,48AD,48BF,003C,00000010
34,80C230,"add dl, 30",0001,0003,0000,0003,0100,48BD,48AD,48BF,003E,00000010
35,0E,"push cs",0001,0003,0000,0033,0100,48BD,48AD,48BF,0041,00001010
36,E8BBFF,"call 0000",0001,0003,0000,0033,00FE,48BD,48AD,48BF,0042,00001010
...,...,...,...,...,...,...,...,...,..,...,...,...
37,B8004C,"ax, 4C00",0001,0003,0000,0033,0100,48BD,48AD,48BF,0045,00001010
